pergunta,resposta_base,categoria,fonte
"O que é Bitcoin?","Bitcoin é um sistema de dinheiro eletrônico ponto a ponto com uma rede própria e um ativo nativo chamado BTC. Suas transações são registradas em uma blockchain pública e validadas segundo as regras da rede.",conceito,https://bitcoin.org/pt_BR/bitcoin-paper
"Qual é a diferença entre Bitcoin e blockchain?","Blockchain é uma tecnologia de registro distribuído. Bitcoin é um sistema e seu ativo nativo que utiliza uma blockchain para registrar transações.",conceito,https://bitcoin.org/en/how-it-works
"O que é Ethereum?","Ethereum é uma rede blockchain descentralizada e uma plataforma que permite executar contratos inteligentes e aplicações descentralizadas. Seu ativo nativo é o Ether, ou ETH.",conceito,https://ethereum.org/pt-br/what-is-ethereum/
"O que é uma carteira de criptomoedas?","É uma ferramenta que permite acessar contas, consultar saldos e assinar transações com ativos digitais. A carteira trabalha com chaves criptográficas associadas à conta.",seguranca,https://ethereum.org/pt-br/wallets/
"O que é uma chave privada?","É uma informação criptográfica secreta usada para assinar operações e controlar os ativos associados à conta. Ela nunca deve ser compartilhada.",seguranca,https://ethereum.org/pt-br/security/
"O que é uma stablecoin?","É um tipo de criptoativo que busca manter seu valor próximo de uma referência. O mecanismo de estabilidade varia de acordo com cada projeto e não elimina todos os riscos.",conceito,https://www.bcb.gov.br/detalhenoticia/21024/noticia
"Criptomoeda é a mesma coisa que ativo virtual?","Os termos podem ser usados de forma próxima em linguagem comum, mas o enquadramento jurídico brasileiro usa o termo ativo virtual para a categoria definida pela legislação. O agente deve considerar o contexto da pergunta.",regulacao,https://www.bcb.gov.br/meubc/faqs/s/moedas-virtuais
"Criptomoedas são seguras?","Não existe uma resposta única. Existem riscos tecnológicos, operacionais, de custódia, fraude, volatilidade e regulação. A análise deve considerar o ativo, a rede e a forma de custódia.",seguranca,https://www.gov.br/cvm/pt-br/assuntos/protecao/mercado-forex
"O que é gas no Ethereum?","Gas é a unidade usada para medir o trabalho computacional necessário para executar operações na rede Ethereum, e as transações exigem o pagamento de taxas de rede em ETH.",tecnologia,https://ethereum.org/pt-br/what-is-ether/
"O que é mineração de Bitcoin?","É o processo pelo qual participantes usam poder computacional para processar e confirmar transações e ajudar a proteger a rede Bitcoin por meio de proof of work.",tecnologia,https://bitcoin.org/en/how-it-works
